video_id	duration_s	classification	n_strategies	title
n72tM2HLv34	691	MULTI-STRATEGY	3	Ultimate MACD Trading Guide For Beginners (Forex, Crypto & Stock MACD Strategies)
FQdOyANXSAM	603	CONCEPT	1	Trading Price Action Using PIN BARS (Best Forex Candlestick Reversal Pattern)
ULd9DYzOI7E	611	MULTI-STRATEGY	4	This Indicator Will Make You Trade Better (Trading Strategies With Momentum Indicator)
LJU78YPdbn0	609	TOOLING	0	Best Volume Indicators You Can't Afford To Miss (Volume-Based Trading For Forex & Stock Market)
jN4R2jeCRsg	691	STRATEGY	2	Trading Trendlines & Channels In Forex & Stock Market (Price Action Strategies)
fmS_rUcKF6c	635	STRATEGY	2	Trading With EXIT Indicators To Lock More Profits (Chandelier Exit & Donchian Channel Strategies)
FfHrlRQUOTs	608	MULTI-STRATEGY	4	The Moving Average No One Talks About | Volume Weighted Moving Average (VWMA) Trading Strategy
7rlH7-YSWPo	665	STRATEGY	1	Trading With Parabolic SAR Like a PRO (Forex Trading Strategy With PSAR & Ichimoku Cloud)
Lwrz6Ckbwqw	666	TOOLING	1	How To Read Price Action Using Heikin-Ashi Charts (Heikin Ashi Candles Explained For Beginners)
M0flnBqjVzU	653	STRATEGY	1	Explosive Ichimoku Renko Trading Strategy (How To Swing Trade Stocks Like A Samurai)
yPbUn3Wuh98	625	STRATEGY	3	How To Use A Moving Average Crossover To Buy Stocks (Swing Trading Strategy for Beginners)
IByaALW0hD8	603	TOOLING	3	Secret Swing Trading Indicator To Avoid Ranges (Choppiness Index Forex Strategies)
fJ1_un39T1o	616	MULTI-STRATEGY	5	Ultimate RSI Trading Guide For Beginners + BEST Strategies To Trade With RSI Indicator
CtelYJ5lFr8	651	STRATEGY	2	Elite Renko Trading Strategy (How To Trade Renko Charts Successfully)
43VDb1LpR6I	691	MULTI-STRATEGY	9	This Volume Price Action Trading Strategy Will Halve Your Losses | Swing Trade ETFS & Stocks
CniaInMpugI	662	STRATEGY	1	Trading Pivot Points With A Twist (Central Pivot Range Strategy For Forex & Stock Market)
JXSJDE3EzN8	662	CONCEPT	0	How To Trade Regular & Hidden Divergences | Divergence Trading Explained For Beginners
Xwdw3Lj1oHA	507	TOOLING	0	BEST Moving Averages That Will Make You Tons Of Cash (For Day Trading Forex & Stocks)
ofltPl-52y8	496	STRATEGY	1	BEST Scalping Trading Strategy For Beginners (How To Scalp Forex & Stock Market)
WZBM-upkBm8	512	MULTI-STRATEGY	4	Ichimoku Day Trading Strategy | Cloud Trading Explained (For Beginners)
yrqd15Ph-tw	578	STRATEGY	1	Best Forex CCI Trading Strategy (Commodity Channel Index Explained For Beginners)
4rn1vw3kGuU	632	STRATEGY	1	ADX DMI Day Trading Strategy | How To Use The ADX Indicator
GHxSGoWRnHI	524	MULTI-STRATEGY	3	Position Trading Strategies | Long-Term Forex and CFD Stock Trading
aRmJuzk6YBA	573	CONCEPT	0	Day Trading Price Action | How To Read Momentum On Forex & Stock Market
H3x-7_TM-ak	431	NO_TRANSCRIPT	0	How To Use Awesome Oscillator For Day Trading (Forex & Stock Trading Strategies)
3GmofkcVO58	456	STRATEGY	2	How To Use StochRSI In Forex & Stock Trading | Stochastic RSI Trading Strategy
z8hfnc0MXCI	552	PSYCHOLOGY	0	How To Win The Game Of Trading As A Complete Beginner
McZJPGsuYXQ	559	STRATEGY	1	My Best Trend Following Strategy (Forex & Stock Trading System)
Pdpcy_FGV7I	530	STRATEGY	1	Day Trading Strategy For Pivot Points Traders (Forex Trading System For Beginners)
